salarytxt,City,State,Population,Density,DPF,MedianHHInc
24000,New York,New York,8537673,27012,230619.62,59799
65600,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
68000,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
42500,New York,New York,8537673,27012,230619.62,59799
52903.5,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
64000,New York,New York,8537673,27012,230619.62,59799
100803,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
53600,New York,New York,8537673,27012,230619.62,59799
113000,New York,New York,8537673,27012,230619.62,59799
90981,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
45000,New York,New York,8537673,27012,230619.62,59799
112500,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
102500,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
90981,New York,New York,8537673,27012,230619.62,59799
180000,New York,New York,8537673,27012,230619.62,59799
135000,New York,New York,8537673,27012,230619.62,59799
97866.5,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
150000,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
152000,New York,New York,8537673,27012,230619.62,59799
86565,New York,New York,8537673,27012,230619.62,59799
62693,New York,New York,8537673,27012,230619.62,59799
75643,New York,New York,8537673,27012,230619.62,59799
130000,New York,New York,8537673,27012,230619.62,59799
75557.5,New York,New York,8537673,27012,230619.62,59799
97866.5,New York,New York,8537673,27012,230619.62,59799
120186,New York,New York,8537673,27012,230619.62,59799
65977,New York,New York,8537673,27012,230619.62,59799
36800,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
79249.5,New York,New York,8537673,27012,230619.62,59799
144000,Chicago,Illinois,2704958,11842,32032.11,51046
104000,Chicago,Illinois,2704958,11842,32032.11,51046
100000,Chicago,Illinois,2704958,11842,32032.11,51046
72000,Chicago,Illinois,2704958,11842,32032.11,51046
57500,Chicago,Illinois,2704958,11842,32032.11,51046
57500,Chicago,Illinois,2704958,11842,32032.11,51046
38400,Chicago,Illinois,2704958,11842,32032.11,51046
140000,Chicago,Illinois,2704958,11842,32032.11,51046
130000,Chicago,Illinois,2704958,11842,32032.11,51046
44800,Chicago,Illinois,2704958,11842,32032.11,51046
125000,Chicago,Illinois,2704958,11842,32032.11,51046
75000,Chicago,Illinois,2704958,11842,32032.11,51046
95000,Chicago,Illinois,2704958,11842,32032.11,51046
100000,Chicago,Illinois,2704958,11842,32032.11,51046
140000,Chicago,Illinois,2704958,11842,32032.11,51046
122500,Chicago,Illinois,2704958,11842,32032.11,51046
122500,Chicago,Illinois,2704958,11842,32032.11,51046
145000,Chicago,Illinois,2704958,11842,32032.11,51046
75000,Chicago,Illinois,2704958,11842,32032.11,51046
110000,Chicago,Illinois,2704958,11842,32032.11,51046
132500,Chicago,Illinois,2704958,11842,32032.11,51046
160000,Chicago,Illinois,2704958,11842,32032.11,51046
107500,Chicago,Illinois,2704958,11842,32032.11,51046
120000,Chicago,Illinois,2704958,11842,32032.11,51046
80000,Chicago,Illinois,2704958,11842,32032.11,51046
130000,Chicago,Illinois,2704958,11842,32032.11,51046
92500,Chicago,Illinois,2704958,11842,32032.11,51046
115000,Chicago,Illinois,2704958,11842,32032.11,51046
85000,Chicago,Illinois,2704958,11842,32032.11,51046
28800,Chicago,Illinois,2704958,11842,32032.11,51046
95000,Chicago,Illinois,2704958,11842,32032.11,51046
100000,Chicago,Illinois,2704958,11842,32032.11,51046
57500,Chicago,Illinois,2704958,11842,32032.11,51046
96000,San Francisco,California,870887,17179,14960.97,63024
104800,San Francisco,California,870887,17179,14960.97,63024
120000,San Francisco,California,870887,17179,14960.97,63024
72800,San Francisco,California,870887,17179,14960.97,63024
54400,San Francisco,California,870887,17179,14960.97,63024
275000,San Francisco,California,870887,17179,14960.97,63024
47200,San Francisco,California,870887,17179,14960.97,63024
300000,San Francisco,California,870887,17179,14960.97,63024
135000,San Francisco,California,870887,17179,14960.97,63024
92500,San Francisco,California,870887,17179,14960.97,63024
72000,San Francisco,California,870887,17179,14960.97,63024
48000,San Francisco,California,870887,17179,14960.97,63024
177500,San Francisco,California,870887,17179,14960.97,63024
125000,San Francisco,California,870887,17179,14960.97,63024
180000,San Francisco,California,870887,17179,14960.97,63024
60800,San Francisco,California,870887,17179,14960.97,63024
30400,Austin,Texas,947890,2653,2514.75,48950
102498,Austin,Texas,947890,2653,2514.75,48950
31992,Austin,Texas,947890,2653,2514.75,48950
102500,Austin,Texas,947890,2653,2514.75,48950
102498,Austin,Texas,947890,2653,2514.75,48950
34992,Austin,Texas,947890,2653,2514.75,48950
102498,Austin,Texas,947890,2653,2514.75,48950
71400,Austin,Texas,947890,2653,2514.75,48950
115000,Austin,Texas,947890,2653,2514.75,48950
71400,Austin,Texas,947890,2653,2514.75,48950
130000,Austin,Texas,947890,2653,2514.75,48950
180000,Austin,Texas,947890,2653,2514.75,48950
102498,Austin,Texas,947890,2653,2514.75,48950
60000,Austin,Texas,947890,2653,2514.75,48950
60000,Austin,Texas,947890,2653,2514.75,48950
75000,Austin,Texas,947890,2653,2514.75,48950
49992,Austin,Texas,947890,2653,2514.75,48950
49992,Austin,Texas,947890,2653,2514.75,48950
79000,Austin,Texas,947890,2653,2514.75,48950
67992,Austin,Texas,947890,2653,2514.75,48950
64998,Austin,Texas,947890,2653,2514.75,48950
102498,Austin,Texas,947890,2653,2514.75,48950
160000,Austin,Texas,947890,2653,2514.75,48950
71400,Austin,Texas,947890,2653,2514.75,48950
64140,Seattle,Washington,704352,7251,5107.26,50733
64140,Seattle,Washington,704352,7251,5107.26,50733
32000,Seattle,Washington,704352,7251,5107.26,50733
39948,Seattle,Washington,704352,7251,5107.26,50733
33234,Seattle,Washington,704352,7251,5107.26,50733
47200,Seattle,Washington,704352,7251,5107.26,50733
91166.5,Seattle,Washington,704352,7251,5107.26,50733
93111,Seattle,Washington,704352,7251,5107.26,50733
88800,Seattle,Washington,704352,7251,5107.26,50733
88800,Seattle,Washington,704352,7251,5107.26,50733
71544,Seattle,Washington,704352,7251,5107.26,50733
67500,Seattle,Washington,704352,7251,5107.26,50733
51138,Seattle,Washington,704352,7251,5107.26,50733
100370.5,Seattle,Washington,704352,7251,5107.26,50733
41142,Seattle,Washington,704352,7251,5107.26,50733
48486,Seattle,Washington,704352,7251,5107.26,50733
94100,Seattle,Washington,704352,7251,5107.26,50733
65000,Seattle,Washington,704352,7251,5107.26,50733
38352,Seattle,Washington,704352,7251,5107.26,50733
125000,Seattle,Washington,704352,7251,5107.26,50733
110000,Seattle,Washington,704352,7251,5107.26,50733
43140,Seattle,Washington,704352,7251,5107.26,50733
117500,Seattle,Washington,704352,7251,5107.26,50733
55000,Seattle,Washington,704352,7251,5107.26,50733
40734,Seattle,Washington,704352,7251,5107.26,50733
45282,Seattle,Washington,704352,7251,5107.26,50733
30400,Seattle,Washington,704352,7251,5107.26,50733
212500,Seattle,Washington,704352,7251,5107.26,50733
100000,Seattle,Washington,704352,7251,5107.26,50733
80000,Seattle,Washington,704352,7251,5107.26,50733
170000,Seattle,Washington,704352,7251,5107.26,50733
41202,Seattle,Washington,704352,7251,5107.26,50733
64110,Seattle,Washington,704352,7251,5107.26,50733
93350,Seattle,Washington,704352,7251,5107.26,50733
150000,Seattle,Washington,704352,7251,5107.26,50733
122450.5,Seattle,Washington,704352,7251,5107.26,50733
71820,Los Angeles,California,3976322,8092,32176.4,45903
24000,Los Angeles,California,3976322,8092,32176.4,45903
84552,Los Angeles,California,3976322,8092,32176.4,45903
73860,Los Angeles,California,3976322,8092,32176.4,45903
73995.5,Los Angeles,California,3976322,8092,32176.4,45903
64213,Los Angeles,California,3976322,8092,32176.4,45903
120000,Los Angeles,California,3976322,8092,32176.4,45903
93500,Los Angeles,California,3976322,8092,32176.4,45903
130000,Los Angeles,California,3976322,8092,32176.4,45903
73860,Los Angeles,California,3976322,8092,32176.4,45903
42500,Los Angeles,California,3976322,8092,32176.4,45903
70000,Los Angeles,California,3976322,8092,32176.4,45903
185000,Los Angeles,California,3976322,8092,32176.4,45903
88765,Los Angeles,California,3976322,8092,32176.4,45903
225000,Los Angeles,California,3976322,8092,32176.4,45903
160000,Los Angeles,California,3976322,8092,32176.4,45903
120000,Los Angeles,California,3976322,8092,32176.4,45903
65000,Los Angeles,California,3976322,8092,32176.4,45903
97476,Los Angeles,California,3976322,8092,32176.4,45903
225000,Los Angeles,California,3976322,8092,32176.4,45903
200000,Los Angeles,California,3976322,8092,32176.4,45903
170000,Los Angeles,California,3976322,8092,32176.4,45903
90000,Los Angeles,California,3976322,8092,32176.4,45903
73860,Los Angeles,California,3976322,8092,32176.4,45903
73860,Los Angeles,California,3976322,8092,32176.4,45903
73860,Los Angeles,California,3976322,8092,32176.4,45903
73860,Los Angeles,California,3976322,8092,32176.4,45903
95000,Los Angeles,California,3976322,8092,32176.4,45903
100000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
97500,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
104000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
85000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
170000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
89600,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
130000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
19200,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
135000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
130000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
105000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
130000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
112500,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
115000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
200000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
135000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
155000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
72500,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
145000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
110000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
145000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
56000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
132500,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
140000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
115000,Philadelphia,Pennsylvania,1567872,11379,17840.82,47528
95000,Atlanta,Georgia,472522,3154,1490.33,51948
85000,Atlanta,Georgia,472522,3154,1490.33,51948
143516,Atlanta,Georgia,472522,3154,1490.33,51948
96900,Atlanta,Georgia,472522,3154,1490.33,51948
96400,Atlanta,Georgia,472522,3154,1490.33,51948
112000,Atlanta,Georgia,472522,3154,1490.33,51948
77600,Atlanta,Georgia,472522,3154,1490.33,51948
53200,Atlanta,Georgia,472522,3154,1490.33,51948
75000,Atlanta,Georgia,472522,3154,1490.33,51948
64100,Atlanta,Georgia,472522,3154,1490.33,51948
110000,Atlanta,Georgia,472522,3154,1490.33,51948
61300,Atlanta,Georgia,472522,3154,1490.33,51948
53200,Atlanta,Georgia,472522,3154,1490.33,51948
85500,Atlanta,Georgia,472522,3154,1490.33,51948
70600,Atlanta,Georgia,472522,3154,1490.33,51948
100000,Atlanta,Georgia,472522,3154,1490.33,51948
110000,Atlanta,Georgia,472522,3154,1490.33,51948
120000,Atlanta,Georgia,472522,3154,1490.33,51948
107500,Atlanta,Georgia,472522,3154,1490.33,51948
62500,Atlanta,Georgia,472522,3154,1490.33,51948
48000,Dallas,Texas,1317929,3518,4636.47,47418
30000,Dallas,Texas,1317929,3518,4636.47,47418
55000,Dallas,Texas,1317929,3518,4636.47,47418
80000,Dallas,Texas,1317929,3518,4636.47,47418
90000,Dallas,Texas,1317929,3518,4636.47,47418
85000,Dallas,Texas,1317929,3518,4636.47,47418
100000,Dallas,Texas,1317929,3518,4636.47,47418
32000,Dallas,Texas,1317929,3518,4636.47,47418
72500,Dallas,Texas,1317929,3518,4636.47,47418
70000,Dallas,Texas,1317929,3518,4636.47,47418
120000,Dallas,Texas,1317929,3518,4636.47,47418
80000,Pittsburgh,Pennsylvania,303625,5521,1676.31,47971
80000,Pittsburgh,Pennsylvania,303625,5521,1676.31,47971
95000,Pittsburgh,Pennsylvania,303625,5521,1676.31,47971
30810,Pittsburgh,Pennsylvania,303625,5521,1676.31,47971
75500,Pittsburgh,Pennsylvania,303625,5521,1676.31,47971
44000,Portland,Oregon,639863,4375,2799.4,46034
24000,Portland,Oregon,639863,4375,2799.4,46034
40536,Portland,Oregon,639863,4375,2799.4,46034
135000,Portland,Oregon,639863,4375,2799.4,46034
60000,Portland,Oregon,639863,4375,2799.4,46034
51500,Portland,Oregon,639863,4375,2799.4,46034
55845.5,Portland,Oregon,639863,4375,2799.4,46034
112000,Portland,Oregon,639863,4375,2799.4,46034
42500,Portland,Oregon,639863,4375,2799.4,46034
78996,Portland,Oregon,639863,4375,2799.4,46034
36000,Portland,Oregon,639863,4375,2799.4,46034
70944,Portland,Oregon,639863,4375,2799.4,46034
47484,Portland,Oregon,639863,4375,2799.4,46034
63069.5,Phoenix,Arizona,1615017,2798,4518.82,44752
19200,Phoenix,Arizona,1615017,2798,4518.82,44752
47741.5,Phoenix,Arizona,1615017,2798,4518.82,44752
135000,Phoenix,Arizona,1615017,2798,4518.82,44752
44000,Phoenix,Arizona,1615017,2798,4518.82,44752
36530,Phoenix,Arizona,1615017,2798,4518.82,44752
52500,Phoenix,Arizona,1615017,2798,4518.82,44752
55000,Phoenix,Arizona,1615017,2798,4518.82,44752
61000,Phoenix,Arizona,1615017,2798,4518.82,44752
48060,Denver,Colorado,693060,3923,2718.87,51088
150000,Denver,Colorado,693060,3923,2718.87,51088
69673,Denver,Colorado,693060,3923,2718.87,51088
47477,Denver,Colorado,693060,3923,2718.87,51088
170000,Denver,Colorado,693060,3923,2718.87,51088
95500,Houston,Texas,2303482,3501,8064.49,57291
88000,Houston,Texas,2303482,3501,8064.49,57291
38350,Houston,Texas,2303482,3501,8064.49,57291
64500,Houston,Texas,2303482,3501,8064.49,57291
64500,Houston,Texas,2303482,3501,8064.49,57291
22500,Houston,Texas,2303482,3501,8064.49,57291
59950,Houston,Texas,2303482,3501,8064.49,57291
64500,Houston,Texas,2303482,3501,8064.49,57291
43794,Houston,Texas,2303482,3501,8064.49,57291
83000,Houston,Texas,2303482,3501,8064.49,57291
83000,Houston,Texas,2303482,3501,8064.49,57291
118500,Houston,Texas,2303482,3501,8064.49,57291
64500,Houston,Texas,2303482,3501,8064.49,57291
83000,Houston,Texas,2303482,3501,8064.49,57291
53000,Houston,Texas,2303482,3501,8064.49,57291
64750,Houston,Texas,2303482,3501,8064.49,57291
64750,Houston,Texas,2303482,3501,8064.49,57291
47500,Houston,Texas,2303482,3501,8064.49,57291
78250,Houston,Texas,2303482,3501,8064.49,57291
67000,Houston,Texas,2303482,3501,8064.49,57291
83000,Houston,Texas,2303482,3501,8064.49,57291
156000,Houston,Texas,2303482,3501,8064.49,57291
95500,Houston,Texas,2303482,3501,8064.49,57291
250000,Houston,Texas,2303482,3501,8064.49,57291
19200,Miami,Florida,453579,11539,5233.85,38632
40000,Miami,Florida,453579,11539,5233.85,38632
24800,Miami,Florida,453579,11539,5233.85,38632
36000,Miami,Florida,453579,11539,5233.85,38632
40000,Miami,Florida,453579,11539,5233.85,38632
75400,Miami,Florida,453579,11539,5233.85,38632
56000,Miami,Florida,453579,11539,5233.85,38632
28800,Miami,Florida,453579,11539,5233.85,38632
55000,Miami,Florida,453579,11539,5233.85,38632
40000,Miami,Florida,453579,11539,5233.85,38632
104752,Miami,Florida,453579,11539,5233.85,38632
75400,Miami,Florida,453579,11539,5233.85,38632
30000,Miami,Florida,453579,11539,5233.85,38632
85000,Miami,Florida,453579,11539,5233.85,38632
92000,Boston,Massachusetts,673184,12793,8612.04,52792
57786,Boston,Massachusetts,673184,12793,8612.04,52792
160000,Boston,Massachusetts,673184,12793,8612.04,52792
72000,Boston,Massachusetts,673184,12793,8612.04,52792
137750.5,Boston,Massachusetts,673184,12793,8612.04,52792
110000,Boston,Massachusetts,673184,12793,8612.04,52792
62400,Boston,Massachusetts,673184,12793,8612.04,52792
170000,Boston,Massachusetts,673184,12793,8612.04,52792
144550.5,Boston,Massachusetts,673184,12793,8612.04,52792
38400,Boston,Massachusetts,673184,12793,8612.04,52792
62400,Boston,Massachusetts,673184,12793,8612.04,52792
44000,Boston,Massachusetts,673184,12793,8612.04,52792
60800,Boston,Massachusetts,673184,12793,8612.04,52792
66890,Boston,Massachusetts,673184,12793,8612.04,52792
60800,Boston,Massachusetts,673184,12793,8612.04,52792
60800,Boston,Massachusetts,673184,12793,8612.04,52792
159250,Boston,Massachusetts,673184,12793,8612.04,52792
120000,Boston,Massachusetts,673184,12793,8612.04,52792
46400,Boston,Massachusetts,673184,12793,8612.04,52792
77050,Boston,Massachusetts,673184,12793,8612.04,52792
160000,Boston,Massachusetts,673184,12793,8612.04,52792
102600.5,Boston,Massachusetts,673184,12793,8612.04,52792
100000,Boston,Massachusetts,673184,12793,8612.04,52792
42000,San Diego,California,1406630,4020,5654.65,47067
93500,San Diego,California,1406630,4020,5654.65,47067
112000,San Diego,California,1406630,4020,5654.65,47067
80000,San Diego,California,1406630,4020,5654.65,47067
45608.5,San Diego,California,1406630,4020,5654.65,47067
86499.5,San Diego,California,1406630,4020,5654.65,47067
65638.5,San Diego,California,1406630,4020,5654.65,47067
79584,San Diego,California,1406630,4020,5654.65,47067
44000,San Diego,California,1406630,4020,5654.65,47067
100000,San Diego,California,1406630,4020,5654.65,47067
28000,Baltimore,Maryland,614664,7672,4715.7,57291
49600,Baltimore,Maryland,614664,7672,4715.7,57291
120212.5,Baltimore,Maryland,614664,7672,4715.7,57291
52136.5,Baltimore,Maryland,614664,7672,4715.7,57291
90000,Baltimore,Maryland,614664,7672,4715.7,57291
77025,Baltimore,Maryland,614664,7672,4715.7,57291
77025,Baltimore,Maryland,614664,7672,4715.7,57291
77025,Baltimore,Maryland,614664,7672,4715.7,57291
70282.5,Baltimore,Maryland,614664,7672,4715.7,57291
24000,Baltimore,Maryland,614664,7672,4715.7,57291
95396.5,Baltimore,Maryland,614664,7672,4715.7,57291
52136.5,Baltimore,Maryland,614664,7672,4715.7,57291
92498.5,Baltimore,Maryland,614664,7672,4715.7,57291
120212.5,Baltimore,Maryland,614664,7672,4715.7,57291
50148.5,Baltimore,Maryland,614664,7672,4715.7,57291
46332,Baltimore,Maryland,614664,7672,4715.7,57291
52136.5,Baltimore,Maryland,614664,7672,4715.7,57291
95396.5,Baltimore,Maryland,614664,7672,4715.7,57291
120000,Baltimore,Maryland,614664,7672,4715.7,57291
70282.5,Baltimore,Maryland,614664,7672,4715.7,57291
49165,Baltimore,Maryland,614664,7672,4715.7,57291
77025,Baltimore,Maryland,614664,7672,4715.7,57291
116000,San Jose,California,1025350,5359,5494.85,63024
104800,San Jose,California,1025350,5359,5494.85,63024
28000,San Jose,California,1025350,5359,5494.85,63024
76000,San Jose,California,1025350,5359,5494.85,63024
136000,San Jose,California,1025350,5359,5494.85,63024
128000,San Jose,California,1025350,5359,5494.85,63024
60000,San Jose,California,1025350,5359,5494.85,63024
128000,San Jose,California,1025350,5359,5494.85,63024
68000,San Jose,California,1025350,5359,5494.85,63024
225000,San Jose,California,1025350,5359,5494.85,63024
140000,San Jose,California,1025350,5359,5494.85,63024
180000,San Jose,California,1025350,5359,5494.85,63024
45600,San Jose,California,1025350,5359,5494.85,63024
160000,San Jose,California,1025350,5359,5494.85,63024
125000,San Jose,California,1025350,5359,5494.85,63024
200000,San Jose,California,1025350,5359,5494.85,63024
160000,San Jose,California,1025350,5359,5494.85,63024
19200,San Jose,California,1025350,5359,5494.85,63024
32800,San Jose,California,1025350,5359,5494.85,63024
125000,San Jose,California,1025350,5359,5494.85,63024
42400,Minneapolis,Minnesota,413651,7088,2931.96,54304
49600,Minneapolis,Minnesota,413651,7088,2931.96,54304
49600,Minneapolis,Minnesota,413651,7088,2931.96,54304
135000,Minneapolis,Minnesota,413651,7088,2931.96,54304
36800,Minneapolis,Minnesota,413651,7088,2931.96,54304
56000,Minneapolis,Minnesota,413651,7088,2931.96,54304
65600,Minneapolis,Minnesota,413651,7088,2931.96,54304
95000,Minneapolis,Minnesota,413651,7088,2931.96,54304
27200,Minneapolis,Minnesota,413651,7088,2931.96,54304
117000,San Antonio,Texas,1492510,2880,4298.43,55083
108824.5,San Antonio,Texas,1492510,2880,4298.43,55083
85000,San Antonio,Texas,1492510,2880,4298.43,55083
50400,Detroit,Michigan,672795,5144,3460.86,26095
71200,Detroit,Michigan,672795,5144,3460.86,26095
99700,Detroit,Michigan,672795,5144,3460.86,26095
45000,Detroit,Michigan,672795,5144,3460.86,26095
33600,Columbus,Ohio,860090,3624,3116.97,46093
27200,Columbus,Ohio,860090,3624,3116.97,46093
21600,Columbus,Ohio,860090,3624,3116.97,46093
52800,Columbus,Ohio,860090,3624,3116.97,46093
78500,Columbus,Ohio,860090,3624,3116.97,46093
28000,Charlotte,North Carolina,842051,2457,2068.92,53274
127500,Charlotte,North Carolina,842051,2457,2068.92,53274
135000,Charlotte,North Carolina,842051,2457,2068.92,53274
55000,Charlotte,North Carolina,842051,2457,2068.92,53274
70000,Charlotte,North Carolina,842051,2457,2068.92,53274
140000,Charlotte,North Carolina,842051,2457,2068.92,53274
135000,Charlotte,North Carolina,842051,2457,2068.92,53274
76000,Charlotte,North Carolina,842051,2457,2068.92,53274
50000,Charlotte,North Carolina,842051,2457,2068.92,53274
187500,Charlotte,North Carolina,842051,2457,2068.92,53274
67500,Charlotte,North Carolina,842051,2457,2068.92,53274
36000,Fort Worth,Texas,854113,2181,1862.82,59175
48000,Fort Worth,Texas,854113,2181,1862.82,59175
120000,Fort Worth,Texas,854113,2181,1862.82,59175
36800,Washington DC,District of Columbia,681170,9856,6713.61,57291
146833.5,Washington DC,District of Columbia,681170,9856,6713.61,57291
79475,Washington DC,District of Columbia,681170,9856,6713.61,57291
24000,Washington DC,District of Columbia,681170,9856,6713.61,57291
86711,Washington DC,District of Columbia,681170,9856,6713.61,57291
100000,Washington DC,District of Columbia,681170,9856,6713.61,57291
120212.5,Washington DC,District of Columbia,681170,9856,6713.61,57291
150000,Washington DC,District of Columbia,681170,9856,6713.61,57291
91066,Washington DC,District of Columbia,681170,9856,6713.61,57291
210000,Washington DC,District of Columbia,681170,9856,6713.61,57291
112500,Washington DC,District of Columbia,681170,9856,6713.61,57291
90936,Washington DC,District of Columbia,681170,9856,6713.61,57291
35200,Washington DC,District of Columbia,681170,9856,6713.61,57291
77025,Washington DC,District of Columbia,681170,9856,6713.61,57291
101477,Washington DC,District of Columbia,681170,9856,6713.61,57291
120000,Washington DC,District of Columbia,681170,9856,6713.61,57291
120186,Washington DC,District of Columbia,681170,9856,6713.61,57291
90941,Washington DC,District of Columbia,681170,9856,6713.61,57291
101477,Washington DC,District of Columbia,681170,9856,6713.61,57291
97825,Washington DC,District of Columbia,681170,9856,6713.61,57291
195000,Washington DC,District of Columbia,681170,9856,6713.61,57291
213000,Washington DC,District of Columbia,681170,9856,6713.61,57291
77025,Washington DC,District of Columbia,681170,9856,6713.61,57291
210000,Washington DC,District of Columbia,681170,9856,6713.61,57291
85000,Washington DC,District of Columbia,681170,9856,6713.61,57291
90000,Washington DC,District of Columbia,681170,9856,6713.61,57291
78400,Washington DC,District of Columbia,681170,9856,6713.61,57291
128825,Washington DC,District of Columbia,681170,9856,6713.61,57291
152500,Washington DC,District of Columbia,681170,9856,6713.61,57291
95396.5,Washington DC,District of Columbia,681170,9856,6713.61,57291
69500,Washington DC,District of Columbia,681170,9856,6713.61,57291
88000,Washington DC,District of Columbia,681170,9856,6713.61,57291
132745,Washington DC,District of Columbia,681170,9856,6713.61,57291